name,accountName,playerId,userId,ip,ping,location_x,location_y,level
N3onBadg3r,Jenelea,5B9B3AF3000000000000000000000000,steam_76561198137038907,66.22.135.76,49.71428680419922,-40330.87109375,-26669.962890625,41
Pixi3 Slaught3R,Pixi3 Slaught3R,4121944F000000000000000000000000,steam_76561199592007550,66.22.136.94,57.85714340209961,-12254.2529296875,-91678.984375,42
Skeebop,skeebop,71D783FA000000000000000000000000,steam_76561199077765583,172.59.33.191,121.28571319580078,-53254.92578125,448691.03125,55
Holga,JhnJcbJglHmrSmtYT,2299EB88000000000000000000000000,steam_76561198258576784,68.131.85.119,72.35713958740234,-418218.5,-207003.71875,40
Helga,D1st0rt3dr3ality,3405D6FC000000000000000000000000,steam_76561199624695529,68.131.85.119,68.46428680419922,-418121.46875,-207043.34375,35
