Total Players: 1000 | Total Caught Pals: 308621 | Total Overall Pals: 71635 | Total Owned Pals: 69010 | Total Worker/Dropped Pals: 2625 | Total Initial Guilds: 1691 | Total Inactive Guilds: 768 | Total Active Guilds: 923 | Total Bases: 226 
Player: Cheshire | UID: 235d99c2-0000-0000-0000-000000000000 | Level: 27 | Caught: 114 | Owned: 64 | Encounters: 69 | Uniques: 62 | Last Online: 2024-09-07 11:06:41 (16d:18h:39m:38s ago)
Player: David | UID: 9072d716-0000-0000-0000-000000000000 | Level: 9 | Caught: 24 | Owned: 24 | Encounters: 14 | Uniques: 14 | Last Online: 2024-09-07 10:58:06 (16d:18h:48m:13s ago)
Player: Bex | UID: b17e702e-0000-0000-0000-000000000000 | Level: 39 | Caught: 248 | Owned: 224 | Encounters: 58 | Uniques: 58 | Last Online: 2024-08-30 09:43:02 (24d:20h:3m:17s ago)
Player: Sinner Is Live | UID: e9db2b96-0000-0000-0000-000000000000 | Level: 32 | Caught: 306 | Owned: 299 | Encounters: 55 | Uniques: 55 | Last Online: 2024-09-08 08:34:37 (15d:21h:11m:42s ago)
Player: EzNoob | UID: 4b92645b-0000-0000-0000-000000000000 | Level: 33 | Caught: 311 | Owned: 291 | Encounters: 77 | Uniques: 77 | Last Online: 2024-09-10 15:21:27 (13d:14h:24m:52s ago)
Player: Vanky | UID: 26981392-0000-0000-0000-000000000000 | Level: 14 | Caught: 59 | Owned: 59 | Encounters: 23 | Uniques: 23 | Last Online: 2024-09-07 02:13:06 (17d:3h:33m:13s ago)
Player: thic | UID: f10ff343-0000-0000-0000-000000000000 | Level: 13 | Caught: 50 | Owned: 49 | Encounters: 13 | Uniques: 13 | Last Online: 2024-09-06 04:54:46 (18d:51m:33s ago)
Player: Beast | UID: fd1b34ab-0000-0000-0000-000000000000 | Level: 11 | Caught: 12 | Owned: 11 | Encounters: 10 | Uniques: 10 | Last Online: 2024-09-07 06:44:22 (16d:23h:1m:57s ago)
Player: .GhostMan | UID: afa2455e-0000-0000-0000-000000000000 | Level: 21 | Caught: 109 | Owned: 108 | Encounters: 32 | Uniques: 32 | Last Online: 2024-09-08 20:16:09 (15d:9h:30m:10s ago)
Player: KAMMO | UID: ce55d25b-0000-0000-0000-000000000000 | Level: 32 | Caught: 297 | Owned: 292 | Encounters: 85 | Uniques: 85 | Last Online: 2024-09-09 18:20:54 (14d:11h:25m:25s ago)
Player: Bigode Grosso | UID: 6c5b8ef2-0000-0000-0000-000000000000 | Level: 55 | Caught: 1774 | Owned: 1 | Encounters: 155 | Uniques: 155 | Last Online: 2024-07-12 08:34:40 (73d:21h:11m:39s ago)
Player: Bigode Grosso | UID: ad586883-0000-0000-0000-000000000000 | Level: 48 | Caught: 434 | Owned: 425 | Encounters: 114 | Uniques: 114 | Last Online: 2024-09-12 21:32:04 (11d:8h:14m:15s ago)
Player: Iori Shiromi | UID: 7aedeab3-0000-0000-0000-000000000000 | Level: 55 | Caught: 39190 | Owned: 807 | Encounters: 164 | Uniques: 164 | Last Online: 2024-09-18 10:46:33 (5d:18h:59m:46s ago)
Player: Laundry Lunatic | UID: fcaca2d1-0000-0000-0000-000000000000 | Level: 54 | Caught: 2255 | Owned: 478 | Encounters: 147 | Uniques: 147 | Last Online: 2024-09-15 08:40:51 (8d:21h:5m:28s ago)
Player: 🅲🆁🅸🆂🅲🅾🅿🆂 | UID: 08218c58-0000-0000-0000-000000000000 | Level: 55 | Caught: 17846 | Owned: 842 | Encounters: 134 | Uniques: 130 | Last Online: 2024-09-23 17:56:22 (11h:49m:57s ago)
Player: BarksAndGrowl | UID: fd4b4eed-0000-0000-0000-000000000000 | Level: 55 | Caught: 1903 | Owned: 67 | Encounters: 164 | Uniques: 164 | Last Online: 2024-07-28 17:44:15 (57d:12h:2m:4s ago)
Player: War Doctor | UID: ff8312b4-0000-0000-0000-000000000000 | Level: 52 | Caught: 2111 | Owned: 750 | Encounters: 130 | Uniques: 127 | Last Online: 2024-08-24 03:56:44 (31d:1h:49m:35s ago)
Player: Snowfox | UID: 31a79567-0000-0000-0000-000000000000 | Level: 29 | Caught: 172 | Owned: 144 | Encounters: 64 | Uniques: 64 | Last Online: 2024-09-17 09:35:45 (6d:20h:10m:34s ago)
Player: Hallucin8 | UID: 933e31b8-0000-0000-0000-000000000000 | Level: 15 | Caught: 44 | Owned: 43 | Encounters: 29 | Uniques: 28 | Last Online: 2024-09-02 05:38:47 (22d:7m:32s ago)
Player: SoulStealer | UID: c753b1cb-0000-0000-0000-000000000000 | Level: 6 | Caught: 4 | Owned: 4 | Encounters: 2 | Uniques: 2 | Last Online: 2024-09-02 05:41:43 (22d:4m:36s ago)
Player: Mr.Beast but evil | UID: 0b00bdf6-0000-0000-0000-000000000000 | Level: 15 | Caught: 30 | Owned: 26 | Encounters: 18 | Uniques: 14 | Last Online: 2024-08-12 13:41:03 (42d:16h:5m:16s ago)
Player: FixTheCord | UID: 684500f2-0000-0000-0000-000000000000 | Level: 4 | Caught: 1 | Owned: 1 | Encounters: 1 | Uniques: 1 | Last Online: 2024-08-13 16:23:49 (41d:13h:22m:30s ago)
Player: Frosty | UID: db51b928-0000-0000-0000-000000000000 | Level: 22 | Caught: 125 | Owned: 141 | Encounters: 29 | Uniques: 29 | Last Online: 2024-09-07 13:43:43 (16d:16h:2m:37s ago)
Player: Zeenobia | UID: 5c56db16-0000-0000-0000-000000000000 | Level: 43 | Caught: 1179 | Owned: 336 | Encounters: 94 | Uniques: 92 | Last Online: 2024-09-22 19:02:11 (1d:10h:44m:8s ago)
Player: Lucky  | UID: ea0438d4-0000-0000-0000-000000000000 | Level: 9 | Caught: 23 | Owned: 15 | Encounters: 14 | Uniques: 14 | Last Online: 2024-08-31 09:02:47 (23d:20h:43m:32s ago)
Player: Pashi | UID: 2bf34315-0000-0000-0000-000000000000 | Level: 4 | Caught: 2 | Owned: 2 | Encounters: 1 | Uniques: 1 | Last Online: 2024-09-01 16:18:37 (22d:13h:27m:42s ago)
Player: Aria Montgomery | UID: 478226a3-0000-0000-0000-000000000000 | Level: 3 | Caught: 0 | Owned: 0 | Encounters: 0 | Uniques: 0 | Last Online: 2024-08-12 21:51:23 (42d:7h:54m:56s ago)
Player: Missbhave | UID: b972a486-0000-0000-0000-000000000000 | Level: 6 | Caught: 2 | Owned: 1 | Encounters: 1 | Uniques: 1 | Last Online: 2024-09-18 21:14:16 (5d:8h:32m:3s ago)
Player: Killer_Jon_Yeet | UID: 249d2969-0000-0000-0000-000000000000 | Level: 6 | Caught: 8 | Owned: 3 | Encounters: 6 | Uniques: 6 | Last Online: 2024-09-18 21:14:30 (5d:8h:31m:50s ago)
Player: DuskDragon | UID: e605c740-0000-0000-0000-000000000000 | Level: 52 | Caught: 980 | Owned: 555 | Encounters: 127 | Uniques: 125 | Last Online: 2024-08-05 16:15:50 (49d:13h:30m:29s ago)
Player: Steelangela | UID: 1931ca3e-0000-0000-0000-000000000000 | Level: 53 | Caught: 1352 | Owned: 855 | Encounters: 142 | Uniques: 141 | Last Online: 2024-09-18 08:03:25 (5d:21h:42m:54s ago)
Player: Bodentien | UID: d8db43f4-0000-0000-0000-000000000000 | Level: 35 | Caught: 378 | Owned: 372 | Encounters: 69 | Uniques: 64 | Last Online: 2024-09-09 22:52:08 (14d:6h:54m:11s ago)
Player: Oni Bunny | UID: c5ff3099-0000-0000-0000-000000000000 | Level: 8 | Caught: 10 | Owned: 10 | Encounters: 10 | Uniques: 10 | Last Online: 2024-08-14 17:37:01 (40d:12h:9m:18s ago)
